Therapeutic,CH1 Isotype,VD LC,Fab_Total_SASA,Fab_Total_SAP,Ch_A_Length,Ch_B_Length,Fab_Total_AAs,Chain_SASA,Chain_SAP,Num_Hydrophobic_Patches,Largest_Hydrophobic_Patch_Size,Largest_Hydrophobic_Patch_SASA,Max_Hydrophobic_Patch_Intensity,Mean_Hydrophobic_Patch_Intensity,Sum_Total_Hydrophobic_Patch_SASA,Top_Hydrophobic_Patch_Burden,Hydro_Dipole_Moment_X,Hydro_Dipole_Moment_Y,Hydro_Dipole_Moment_Z,Num_Aromatic_Patches,Largest_Aromatic_Patch_Size,Largest_Aromatic_Patch_SASA,Max_Aromatic_Patch_Intensity,Mean_Aromatic_Patch_Intensity,Sum_Total_Aromatic_Patch_SASA,Top_Aromatic_Patch_Burden,Net_Charge,Dipole_Moment_X,Dipole_Moment_Y,Dipole_Moment_Z,Complementary_Charge_Patches,Chain_Num_Hydrophobic_Patches,Chain_Largest_Hydrophobic_Patch_Size,Chain_Largest_Hydrophobic_Patch_SASA,Chain_Max_Hydrophobic_Patch_Intensity,Chain_Mean_Hydrophobic_Patch_Intensity,Chain_Sum_Total_Hydrophobic_Patch_SASA,Chain_Top_Hydrophobic_Patch_Burden,Chain_Hydro_Dipole_Moment_X,Chain_Hydro_Dipole_Moment_Y,Chain_Hydro_Dipole_Moment_Z,Chain_Num_Aromatic_Patches,Chain_Largest_Aromatic_Patch_Size,Chain_Largest_Aromatic_Patch_SASA,Chain_Max_Aromatic_Patch_Intensity,Chain_Mean_Aromatic_Patch_Intensity,Chain_Sum_Total_Aromatic_Patch_SASA,Chain_Top_Aromatic_Patch_Burden,Chain_Net_Charge,Chain_Dipole_Moment_X,Chain_Dipole_Moment_Y,Chain_Dipole_Moment_Z,Chain_Complementary_Charge_Patches
Adezkibart,G1,Lambda,23895.27,-141.69,217,217,434,11386.07,-197.83,5,12,901.33,0.5476,0.4425,2542.9,484.2673,-7.974,-6.371,-0.045,0,0,0.0,0.0,0.0,0.0,0.0,4.51,293.758,234.736,686.142,64,2,4,437.46,0.6931,0.6203,676.12,303.1893,-5.528,2.56,5.44,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-17.818,-52.178,75.873,37
Adimanebart,G1,Lambda,25556.29,-154.53,219,218,437,13046.46,-187.47,6,14,999.33,0.7769,0.4125,2506.93,465.1268,-5.44,-2.266,-5.628,0,0,0.0,0.0,0.0,0.0,0.0,4.52,-226.814,663.597,388.211,60,5,6,394.01,0.8154,0.5054,1452.22,321.2531,-4.005,-0.073,6.027,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-258.64,-146.354,129.064,29
Adintrevimab,G1,Lambda,25915.02,-133.72,222,218,440,14386.67,-172.34,6,9,609.65,0.8551,0.4933,2401.3,369.3904,0.895,-5.184,10.639,0,0,0.0,0.0,0.0,0.0,0.0,5.43,245.899,-712.49,62.523,60,2,7,353.22,0.4581,0.404,584.85,123.577,-4.808,-0.022,-2.822,0,0,0.0,0.0,0.0,0.0,0.0,2.71,43.119,-235.592,234.766,27
Aducanumab,G1,Kappa,26967.71,-131.78,222,214,436,13212.78,-198.94,5,8,474.31,1.1347,0.5577,2037.98,369.6044,-0.262,-7.416,6.634,0,0,0.0,0.0,0.0,0.0,0.0,4.52,-0.88,433.471,221.688,60,1,5,366.64,0.6017,0.6017,366.64,220.6018,5.141,5.017,12.439,0,0,0.0,0.0,0.0,0.0,0.0,1.8,127.921,190.759,-498.261,33
Afimkibart,G1,Kappa,23573.06,-175.16,222,214,436,11431.73,-191.29,3,9,653.47,0.6193,0.4467,1485.99,306.5126,-1.745,2.502,5.981,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-119.196,-458.271,-372.52,68,2,6,435.37,0.6193,0.3557,791.6,220.6025,2.658,-0.62,5.878,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-46.312,289.406,-393.737,37
Alcestobart,G4,Lambda,22338.21,-183.29,196,213,409,11377.95,-122.66,3,22,1666.16,1.1169,0.6297,2368.0,726.2397,8.946,-3.057,4.185,0,0,0.0,0.0,0.0,0.0,0.0,3.61,20.937,358.456,839.217,57,2,6,342.86,0.7442,0.5402,681.54,252.0364,1.411,4.889,-0.523,0,0,0.0,0.0,0.0,0.0,0.0,1.8,4.515,299.407,203.373,30
Alemtuzumab,G1,Kappa,27953.81,-220.81,219,214,433,13125.49,-169.24,7,25,2126.84,0.6955,0.2926,5422.7,1297.7478,13.106,1.63,3.717,0,0,0.0,0.0,0.0,0.0,0.0,5.43,-778.235,444.895,567.589,66,2,7,488.02,0.7774,0.7364,893.71,379.3771,4.675,4.551,-2.267,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-788.203,158.517,196.159,35
Aletekitug,G1,Kappa,26238.84,-126.18,224,214,438,12898.81,-119.04,6,13,1070.76,1.0377,0.5718,3640.05,786.0751,8.573,10.585,2.52,1,4,304.68,76.1702,76.1702,304.68,23207.5981,4.51,-248.864,100.392,72.679,77,3,6,485.54,1.077,0.6763,1241.54,522.9407,10.75,6.544,4.295,0,0,0.0,0.0,0.0,0.0,0.0,1.8,173.937,-18.007,-83.82,35
Alirocumab,G1,Kappa,27596.69,-75.78,216,220,436,14336.85,-154.66,8,13,1273.68,0.7493,0.4156,3806.59,800.602,-0.293,-4.679,3.191,1,4,307.58,76.896,76.896,307.58,23651.9619,4.51,145.448,234.854,379.714,61,2,8,537.75,0.9424,0.6445,752.57,506.754,8.71,9.044,-2.52,1,4,307.58,76.896,76.896,307.58,23651.9619,1.8,-28.323,3.434,98.359,37
Alpitatug,G1,Kappa,28520.85,12.53,215,218,433,16316.48,-204.0,8,20,2323.32,0.7942,0.3455,5322.9,1845.0939,18.718,3.0,5.012,0,0,0.0,0.0,0.0,0.0,0.0,4.52,-347.432,771.587,-140.285,65,5,5,346.65,0.4426,0.2338,1327.18,153.433,7.7,10.034,3.841,0,0,0.0,0.0,0.0,0.0,0.0,2.7,-156.881,74.145,-156.781,37
Amdokitug,G1,Kappa,27652.43,-52.62,213,214,427,15507.84,-137.49,7,13,1102.93,0.9572,0.4418,3699.66,1055.6756,0.457,11.086,-2.324,1,5,544.53,108.9053,108.9053,544.53,59301.8025,4.52,-600.068,762.006,-119.573,59,2,9,825.9,1.0333,0.4026,1177.25,853.446,0.756,2.006,-0.595,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-170.678,205.872,-47.992,40
Amlenetug,G1,Kappa,24563.31,-360.99,214,215,429,12583.12,-250.6,7,8,523.82,0.9178,0.4053,2915.82,443.2093,-4.953,2.559,-4.556,0,0,0.0,0.0,0.0,0.0,0.0,3.6,-161.572,-279.103,466.453,66,4,7,424.92,0.8222,0.3589,1385.77,285.3615,-6.152,11.435,-2.361,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-283.669,-299.75,246.682,38
Amlitelimab,G4,Kappa,27066.99,-221.31,211,214,425,12549.64,-212.84,8,22,1453.22,1.0652,0.6426,4079.44,424.6414,6.127,-6.693,-5.439,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-351.109,685.466,-142.795,65,5,6,351.34,1.0431,0.5583,1547.81,346.3233,2.99,2.497,-4.003,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-372.877,-120.699,10.591,37
Amrecibart,G4,Kappa,22584.19,-199.39,207,215,422,11217.99,-187.59,5,16,999.9,1.2194,0.6252,2360.01,363.1029,-6.532,2.369,-6.852,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-511.738,-61.682,299.183,70,3,6,443.76,0.6514,0.3785,1080.27,232.8641,-4.753,2.79,6.666,0,0,0.0,0.0,0.0,0.0,0.0,1.8,127.671,-7.165,-46.186,36
Amubarvimab,G1,Kappa,25094.66,-219.31,215,214,429,12608.79,-188.04,3,17,1631.02,0.7653,0.4121,2665.37,588.2971,0.971,8.399,-1.008,0,0,0.0,0.0,0.0,0.0,0.0,4.51,304.034,226.357,-204.324,64,2,5,324.16,0.9347,0.3697,562.2,302.9831,0.765,7.251,-4.756,0,0,0.0,0.0,0.0,0.0,0.0,1.8,66.081,56.036,-97.322,38
Andecaliximab,G4,Kappa,25169.21,-16.58,199,214,413,11913.28,-160.16,6,10,753.3,1.013,0.5858,3384.61,516.6972,-0.628,-4.313,-3.532,1,4,512.76,128.1893,128.1893,512.76,65730.0172,5.42,333.86,511.134,617.153,68,2,7,412.62,0.654,0.3954,675.97,269.865,-1.207,4.036,-2.22,0,0,0.0,0.0,0.0,0.0,0.0,2.71,111.186,58.852,310.098,38
Anifrolumab,G1,Kappa,30514.81,-180.45,215,215,430,13366.66,-220.86,4,18,1667.6,0.6974,0.4484,3372.05,1128.4843,10.636,-1.972,-4.856,0,0,0.0,0.0,0.0,0.0,0.0,4.51,594.666,-569.569,129.579,68,1,4,300.43,0.5019,0.5019,300.43,150.7862,6.076,-4.26,-15.326,0,0,0.0,0.0,0.0,0.0,0.0,1.8,291.485,63.636,-140.235,42
Anselamimab,G1,Kappa,29449.99,-85.16,209,219,428,15413.67,-143.88,6,21,1547.65,0.5646,0.2471,3075.28,873.8379,3.456,-5.77,5.149,1,4,449.18,112.2939,112.2939,449.18,50439.6615,6.34,240.055,-410.596,-354.861,66,3,10,715.7,0.6963,0.4931,1185.18,498.3392,-1.314,-11.987,1.838,0,0,0.0,0.0,0.0,0.0,0.0,3.62,430.61,-135.478,-176.448,40
Ansuvimab,G1,Kappa,26185.14,-217.03,217,214,431,11964.88,-204.0,7,9,781.2,0.5579,0.2674,3194.53,191.7853,-4.119,-13.15,-5.849,0,0,0.0,0.0,0.0,0.0,0.0,6.33,61.633,435.84,-7.51,63,2,7,343.05,0.5579,0.3133,662.45,191.3912,1.933,-0.312,-7.062,0,0,0.0,0.0,0.0,0.0,0.0,3.62,-244.84,116.776,205.029,36
Arcitumomab,G1,Kappa,26634.01,-229.85,219,213,432,14787.34,-126.76,6,7,568.71,0.6253,0.2944,2143.65,273.6048,-10.462,-6.901,-7.856,0,0,0.0,0.0,0.0,0.0,0.0,5.43,773.969,389.651,-552.94,60,3,7,412.8,0.6253,0.4443,936.66,258.1354,-3.392,-5.769,-1.187,0,0,0.0,0.0,0.0,0.0,0.0,3.62,700.468,425.407,-327.117,32
Armocibart,G4,Kappa,30258.37,-276.26,205,219,424,15755.21,-216.43,5,16,1281.78,0.7706,0.2941,3009.46,419.0996,1.037,4.949,2.97,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-181.365,685.558,72.225,78,3,13,953.3,0.8566,0.4848,1656.3,330.7713,-0.434,5.806,7.382,0,0,0.0,0.0,0.0,0.0,0.0,2.7,-371.131,153.355,-40.451,41
Ascrinvacumab,G2,Kappa,25665.71,-253.01,202,215,417,11714.69,-248.63,5,18,1138.08,0.94,0.4804,2773.96,409.0931,6.086,0.639,-10.329,1,5,426.5,85.3005,85.3005,426.5,36380.8367,4.51,-545.726,-52.744,-70.535,63,3,7,396.31,0.7441,0.3102,947.56,294.8883,2.926,7.343,-1.339,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-294.662,-63.804,-357.12,39
Aselizumab,G4,Kappa,26608.64,-263.36,200,218,418,14822.06,-255.6,4,24,1807.12,0.6585,0.5183,3313.32,1189.9294,-7.878,-1.042,-7.416,0,0,0.0,0.0,0.0,0.0,0.0,3.6,122.902,629.196,-618.378,65,3,8,614.73,0.7927,0.6346,1469.47,487.3034,-0.697,6.747,3.418,0,0,0.0,0.0,0.0,0.0,0.0,1.79,-455.277,12.2,-616.349,39
Astegolimab,G2,Kappa,26728.83,-84.24,205,214,419,12437.62,-245.92,6,8,1033.13,1.1744,0.7401,3634.53,1213.3287,4.901,-9.59,-0.189,1,5,1033.13,206.6253,206.6253,1033.13,213470.1527,4.51,88.506,239.392,-382.464,67,2,7,392.68,0.653,0.6356,741.63,256.4242,3.84,4.206,3.744,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-346.763,-276.054,-586.5,34
Atezolizumab,G1,Kappa,25203.63,-2.65,216,214,430,11483.85,-162.69,5,14,1302.1,0.7706,0.4074,3017.76,559.4006,0.91,-4.896,9.206,0,0,0.0,0.0,0.0,0.0,0.0,6.34,-233.668,472.112,-412.183,64,2,5,440.06,0.7706,0.7474,764.0,339.1251,2.486,5.386,12.135,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-118.804,44.364,-57.663,36
Atibuclimab,G4,Kappa,25978.51,-178.76,199,218,417,13767.36,-224.16,3,7,390.85,0.6633,0.1376,965.24,259.2642,0.927,-4.635,-3.736,0,0,0.0,0.0,0.0,0.0,0.0,4.51,-28.911,489.949,-163.728,70,2,7,390.85,0.6633,0.2019,617.51,259.2642,-0.5,5.029,5.506,0,0,0.0,0.0,0.0,0.0,0.0,2.7,-393.095,-180.657,-223.95,42
Atigotatug,G1,Kappa,26679.36,-230.87,220,214,434,12295.07,-200.63,7,8,499.64,1.1068,0.3609,2536.78,284.2325,-3.687,4.109,1.433,0,0,0.0,0.0,0.0,0.0,0.0,3.6,-939.011,242.531,682.903,62,5,7,447.8,1.1068,0.4234,1594.28,284.2325,-0.227,8.478,-2.295,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-165.539,-120.188,216.305,38
Atisnolerbart,G4,Kappa,30346.59,45.87,204,215,419,16227.55,-109.97,9,11,732.27,1.0027,0.5471,4447.12,662.7608,-6.292,4.221,-2.94,1,4,477.86,119.4645,119.4645,477.86,57087.0719,4.51,-250.384,533.288,475.856,64,4,5,660.98,1.0027,0.6086,1706.89,662.7608,-3.417,9.838,-2.251,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-81.66,-106.517,450.235,40
Avelumab,G1,Lambda,21036.25,-260.63,218,216,434,10538.52,-242.22,4,9,529.06,1.0611,0.5076,1720.17,284.7587,-7.692,6.994,-3.715,0,0,0.0,0.0,0.0,0.0,0.0,4.52,108.264,-350.827,26.236,55,1,7,457.65,0.5178,0.5178,457.65,236.9632,-3.681,-8.085,-1.496,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-290.4,-54.632,235.504,32
Avitotamig,G1,Kappa,28998.47,-21.49,217,213,430,13096.5,-131.75,6,18,1401.08,0.6388,0.4184,3135.58,483.1069,12.689,1.754,-10.219,0,0,0.0,0.0,0.0,0.0,0.0,4.52,288.112,440.258,-37.027,67,3,8,581.41,0.4853,0.3571,1436.09,282.1364,-0.16,3.151,1.48,0,0,0.0,0.0,0.0,0.0,0.0,2.71,87.666,105.917,-27.579,40
Balertatug,G1,Kappa,26445.92,-146.6,216,218,434,12858.65,-190.84,6,14,888.78,0.7048,0.4275,2957.16,444.7075,0.753,-14.611,-12.758,0,0,0.0,0.0,0.0,0.0,0.0,5.42,-58.762,-436.568,203.447,67,3,8,579.56,0.7048,0.3954,1253.85,352.2673,4.322,-8.219,-12.87,0,0,0.0,0.0,0.0,0.0,0.0,3.61,252.337,0.306,118.131,41
Balonkibart,G4,Kappa,25770.37,-273.1,204,214,418,13754.37,-198.08,4,17,1117.14,0.6255,0.4541,2908.41,495.5994,9.347,-2.118,-7.87,0,0,0.0,0.0,0.0,0.0,0.0,4.52,-558.23,220.905,-214.197,64,2,7,450.64,0.6255,0.5858,833.79,246.0864,4.765,6.697,-3.428,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-488.311,-322.41,322.988,38
Balstilimab,G4,Kappa,22764.96,-270.13,197,214,411,11426.83,-242.99,5,13,805.38,0.5613,0.3144,2707.28,259.4955,8.905,-8.559,-2.418,0,0,0.0,0.0,0.0,0.0,0.0,5.42,-53.338,847.547,-146.805,65,3,7,362.64,0.5613,0.2672,920.51,203.5629,8.103,4.803,-1.419,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-403.349,196.133,-274.517,35
Bamlanivimab,G1,Kappa,22589.55,-200.16,223,214,437,11273.19,-206.58,5,14,911.13,0.665,0.3032,2529.22,274.9905,-2.124,-0.35,-0.366,0,0,0.0,0.0,0.0,0.0,0.0,4.52,397.817,-335.486,252.186,63,3,7,413.52,0.665,0.366,1005.84,274.9905,1.147,-6.92,-5.326,0,0,0.0,0.0,0.0,0.0,0.0,1.8,100.268,48.6,222.43,36
Barzolvolimab,G1,Kappa,27563.25,-151.03,214,214,428,15372.54,-120.37,10,11,1235.98,0.7914,0.2851,4648.79,656.0124,-9.512,3.202,-4.483,0,0,0.0,0.0,0.0,0.0,0.0,3.61,297.523,-294.501,-352.373,63,4,7,383.18,0.7914,0.2498,1275.03,303.2611,-5.317,1.361,-2.454,0,0,0.0,0.0,0.0,0.0,0.0,1.8,108.91,310.445,-408.352,34
Basiliximab,G1,Kappa,22369.45,-181.15,215,211,426,11498.45,-184.72,5,9,591.72,0.9825,0.4976,2316.0,581.3814,-6.938,-5.842,0.571,1,4,591.72,147.93,147.93,591.72,87533.1044,6.34,251.473,143.068,302.904,64,1,5,341.29,0.6335,0.6335,341.29,216.2159,-4.946,8.714,2.143,0,0,0.0,0.0,0.0,0.0,0.0,2.71,481.192,-310.457,453.433,35
Bavituximab,G1,Kappa,26907.33,-178.13,218,214,432,13360.28,-219.72,6,17,1388.88,0.8353,0.4174,3688.46,387.4232,3.848,1.856,-8.709,0,0,0.0,0.0,0.0,0.0,0.0,6.33,-220.79,191.44,138.117,70,3,7,435.67,0.6193,0.3837,1271.53,256.833,0.908,4.114,-2.79,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-50.549,-150.626,-58.813,41
Bebtelovimab,G1,Lambda,25791.6,57.23,217,215,432,12674.78,-171.64,6,30,3106.46,0.7275,0.3047,5268.62,2259.9469,3.917,-1.201,-2.816,1,9,1225.22,136.1359,136.1359,1225.22,166796.8687,7.25,-159.101,966.446,208.996,63,2,6,334.03,0.3617,0.0517,573.52,120.8042,6.226,-0.288,-2.129,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-101.256,-13.41,-225.902,25
Becotatug,G1,Kappa,25768.77,-344.67,217,214,431,12783.95,-349.84,7,9,769.79,0.6845,0.3442,2952.54,324.0942,3.531,2.169,-12.083,0,0,0.0,0.0,0.0,0.0,0.0,5.42,-138.695,244.496,-185.121,70,3,7,412.14,0.6511,0.2865,921.91,268.3378,-3.156,10.767,-7.926,0,0,0.0,0.0,0.0,0.0,0.0,2.7,-176.862,-161.597,91.066,44
Befovacimab,G2,Lambda,25560.16,20.83,201,212,413,13310.19,-149.02,5,16,1352.68,0.9815,0.5447,3270.55,937.0461,1.77,-7.351,-4.608,1,4,429.21,107.3028,107.3028,429.21,46055.5472,4.52,-672.493,213.262,556.251,60,3,11,799.22,0.69,0.5018,1334.15,551.4306,-1.584,-0.249,0.323,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-260.133,4.558,260.592,26
Belantamab,G1,Kappa,22937.06,-144.76,219,214,433,11683.2,-187.97,7,9,698.38,0.9409,0.5106,3566.23,657.0705,-2.624,-2.037,-10.334,0,0,0.0,0.0,0.0,0.0,0.0,6.34,376.447,344.801,309.048,70,5,6,463.58,0.7499,0.4095,1658.78,347.6387,0.809,9.793,-6.574,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-194.36,-43.615,55.187,35
Belimumab,G1,Lambda,23107.23,-224.98,221,214,435,11600.33,-233.91,6,11,783.13,1.0062,0.4532,3248.4,472.8283,-15.442,-11.678,-2.504,0,0,0.0,0.0,0.0,0.0,0.0,6.33,-206.646,925.135,84.145,62,4,7,469.92,1.0062,0.3814,1466.92,472.8283,-7.688,-0.409,-3.215,0,0,0.0,0.0,0.0,0.0,0.0,2.71,75.851,178.636,-228.057,31
Belrestotug,G1,Kappa,24831.75,-199.2,219,215,434,11862.42,-204.61,6,9,744.14,0.6369,0.387,2899.29,302.5636,2.202,-6.658,-7.724,0,0,0.0,0.0,0.0,0.0,0.0,5.42,-43.297,789.674,43.972,71,2,7,414.99,0.6369,0.4398,680.41,264.293,1.522,2.002,-0.72,0,0,0.0,0.0,0.0,0.0,0.0,1.8,-28.803,97.179,13.604,41
Bemarituzumab,G1,Kappa,24342.9,-207.74,212,214,426,12094.47,-218.97,7,8,684.79,1.0967,0.5355,3148.44,750.9944,-14.987,3.852,-2.163,0,0,0.0,0.0,0.0,0.0,0.0,5.43,123.508,-320.843,-182.688,64,1,5,343.57,0.6539,0.6539,343.57,224.6588,-9.375,-4.207,-2.311,0,0,0.0,0.0,0.0,0.0,0.0,2.71,325.697,41.855,92.057,37
Bempikibart,G1,Kappa,29852.92,-28.82,219,216,435,15222.74,-107.51,12,15,1025.95,0.9844,0.4112,5086.48,985.5599,4.435,10.854,1.781,0,0,0.0,0.0,0.0,0.0,0.0,5.42,253.966,-204.08,197.024,69,6,9,957.74,0.9778,0.5214,2327.54,936.4272,4.441,7.553,4.437,0,0,0.0,0.0,0.0,0.0,0.0,1.8,542.228,-108.694,-31.852,33
Benmelstobart,G1,Kappa,24623.6,-165.69,214,214,428,13169.87,-146.85,6,23,1600.78,0.6257,0.2628,3041.31,772.2354,7.737,6.223,-0.701,0,0,0.0,0.0,0.0,0.0,0.0,4.52,-146.559,470.431,142.305,59,3,12,736.36,0.6257,0.4755,1330.21,435.7384,6.684,4.094,-1.115,0,0,0.0,0.0,0.0,0.0,0.0,1.8,32.967,-99.843,313.404,39
Benralizumab,G1,Kappa,30712.7,-157.83,219,214,433,16197.54,-149.5,7,17,1865.83,0.6287,0.3365,4482.86,1173.1286,-3.42,4.44,-3.881,1,5,661.02,132.2041,132.2041,661.02,87389.6501,5.42,531.384,-95.088,203.093,63,4,13,665.26,0.6126,0.2741,1635.33,360.6105,-1.492,14.316,-6.097,0,0,0.0,0.0,0.0,0.0,0.0,2.71,-111.816,-237.809,-96.046,35
