Therapeutic,CH1 Isotype,VD LC,Fab_Total_SASA,Ch_A_length,Ch_B_length,Fab_Total_AAs,N_Disulfide_Bonds,N_Salt_Bridges,N_Hydrogen_Bonds,Delta_H_REF,Delta_Cp_Proxy,Hydrophobic_SASA_Folded,Polar_SASA_Folded,Hydrophobic_SASA_Unfolded,Polar_SASA_Unfolded,Delta_SASA_Hydrophobic,Delta_SASA_Polar,Delta_G_NU,Delta_G_NU_at_T_REF,Delta_S_REF,Tm_Proxy_K,Tm_Proxy_C,T_Onset_Proxy_K,T_Onset_Proxy_C,N_Helix,N_Sheet,N_Coil,Pct_Helix,Pct_Sheet,Pct_Coil,Chain_N_Disulfide_Bonds,Chain_N_Salt_Bridges,Chain_N_Hydrogen_Bonds,Chain_Delta_H_REF,Chain_Delta_Cp_Proxy,Chain_Hydrophobic_SASA_Folded,Chain_Polar_SASA_Folded,Chain_Hydrophobic_SASA_Unfolded,Chain_Polar_SASA_Unfolded,Chain_Delta_SASA_Hydrophobic,Chain_Delta_SASA_Polar,Chain_Delta_G_NU,Chain_Delta_G_NU_at_T_REF,Chain_Delta_S_REF,Chain_Tm_Proxy_K,Chain_Tm_Proxy_C,Chain_T_Onset_Proxy_K,Chain_T_Onset_Proxy_C
Afimkibart,G1,Kappa,23573.06,222,214,436,4,26,266,-243.879,5.1,5684.839,10207.066,28303.0,31792.0,22618.161,21584.934,-189326.87,-189326.87,1310.121,273.15,0.0,273.15,0.0,12,191,224,2.81,44.73,52.46,2,17,121,-130.432,2.601,2662.719,4807.848,14067.0,15446.0,11404.281,10638.152,-189326.87,-189326.87,634.568,273.15,0.0,273.15,0.0
Alcestobart,G4,Lambda,22338.21,196,213,409,2,10,255,-168.579,4.495,5376.856,10155.125,25814.0,30600.0,20437.144,20444.875,-182697.46,-182697.46,1219.421,273.15,0.0,273.15,0.0,20,113,261,5.08,28.68,66.24,1,4,120,-78.493,2.327,2460.281,5724.813,13293.0,17022.0,10832.719,11297.187,-182697.46,-182697.46,612.507,273.15,0.0,273.15,0.0
Alemtuzumab,G1,Kappa,27953.81,219,214,433,2,14,274,-137.807,4.632,8007.719,11107.158,28767.0,31321.0,20759.281,20213.842,-192160.094,-192160.094,1356.193,273.15,0.0,273.15,0.0,19,128,273,4.52,30.48,65.0,1,5,135,-83.773,2.129,3009.086,5427.503,13106.0,16290.0,10096.914,10862.497,-192160.094,-192160.094,644.227,273.15,0.0,273.15,0.0
Aletekitug,G1,Kappa,26238.84,224,214,438,3,19,290,-210.186,4.88,6712.559,9783.746,28367.0,30471.0,21654.441,20687.254,-194208.297,-194208.297,1355.814,273.15,0.0,273.15,0.0,15,131,276,3.55,31.04,65.4,1,8,133,-87.917,2.186,3243.318,5128.026,13444.0,15811.0,10200.682,10682.974,-194208.297,-194208.297,651.083,273.15,0.0,273.15,0.0
Alirocumab,G1,Kappa,27596.69,216,220,436,2,26,275,-190.468,4.66,7861.281,11366.825,28688.0,31540.0,20826.719,20173.175,-199508.42,-199508.42,1371.532,273.15,0.0,273.15,0.0,13,154,258,3.06,36.24,60.71,1,16,128,-112.222,2.246,3351.125,6518.201,13679.0,17062.0,10327.875,10543.799,-199508.42,-199508.42,668.778,273.15,0.0,273.15,0.0
Alpitatug,G1,Kappa,28520.85,215,218,433,2,10,267,-110.321,4.298,8187.145,11169.09,28217.0,32102.0,20029.855,20932.91,-203298.492,-203298.492,1349.679,273.15,0.0,273.15,0.0,12,107,302,2.85,25.42,71.73,1,6,132,-53.312,2.111,4267.507,5906.633,13826.0,15399.0,9558.493,9492.367,-203298.492,-203298.492,681.688,273.15,0.0,273.15,0.0
Amdokitug,G1,Kappa,27652.43,213,214,427,1,18,274,-158.862,4.607,7645.534,11154.788,28016.0,30479.0,20370.466,19324.212,-201403.631,-201403.631,1338.138,273.15,0.0,273.15,0.0,11,95,313,2.63,22.67,74.7,1,7,132,-56.679,1.989,4292.839,6190.118,13567.0,15892.0,9274.161,9701.882,-201403.631,-201403.631,675.321,273.15,0.0,273.15,0.0
Amlenetug,G1,Kappa,24563.31,214,215,429,3,24,283,-230.1,4.997,6436.015,9723.038,28420.0,30369.0,21983.985,20645.962,-193832.46,-193832.46,1328.9,273.15,0.0,273.15,0.0,18,167,225,4.39,40.73,54.88,1,9,140,-110.253,2.402,2789.899,5232.636,13524.0,15629.0,10734.101,10396.364,-193832.46,-193832.46,649.747,273.15,0.0,273.15,0.0
Amlitelimab,G4,Kappa,27066.99,211,214,425,2,8,298,-154.191,4.538,7352.367,10592.072,27729.0,30510.0,20376.633,19917.928,-192215.423,-192215.423,1341.809,273.15,0.0,273.15,0.0,18,132,270,4.29,31.43,64.29,1,4,140,-88.603,2.226,2855.86,5323.711,13384.0,16601.0,10528.14,11277.289,-192215.423,-192215.423,644.397,273.15,0.0,273.15,0.0
Amrecibart,G4,Kappa,22584.19,207,215,422,4,17,373,-331.561,5.185,5017.56,9788.696,27606.0,30584.0,22588.44,20795.304,-203601.122,-203601.122,1363.439,273.15,0.0,273.15,0.0,19,190,205,4.59,45.89,49.52,2,9,183,-168.684,2.341,2332.63,5193.706,13353.0,16911.0,11020.37,11717.294,-203601.122,-203601.122,682.316,273.15,0.0,273.15,0.0
Amubarvimab,G1,Kappa,25094.66,215,214,429,2,12,255,-145.701,4.869,6611.964,10268.813,28061.0,30468.0,21449.036,20199.187,-185348.696,-185348.696,1292.299,273.15,0.0,273.15,0.0,20,113,280,4.84,27.36,67.8,1,10,111,-83.618,2.293,2855.285,5241.498,13266.0,15629.0,10410.715,10387.502,-185348.696,-185348.696,621.382,273.15,0.0,273.15,0.0
Andecaliximab,G4,Kappa,25169.21,199,214,413,3,20,259,-195.936,4.509,6202.547,10730.671,26413.0,30418.0,20210.453,19687.329,-189001.295,-189001.295,1263.064,273.15,0.0,273.15,0.0,17,150,241,4.17,36.76,59.07,2,11,136,-131.528,2.271,2258.892,5033.489,12865.0,16161.0,10606.108,11127.511,-189001.295,-189001.295,633.472,273.15,0.0,273.15,0.0
Anifrolumab,G1,Kappa,30514.81,215,215,430,0,17,274,-126.192,4.727,8632.3,11769.261,28885.0,29758.0,20252.7,17988.739,-191638.444,-191638.444,1366.808,273.15,0.0,273.15,0.0,17,109,288,4.11,26.33,69.57,0,9,129,-90.545,2.428,2978.192,5317.335,13673.0,15383.0,10694.808,10065.665,-191638.444,-191638.444,642.455,273.15,0.0,273.15,0.0
Anselamimab,G1,Kappa,29449.99,209,219,428,2,9,289,-115.001,4.688,8719.972,11940.528,29022.0,30396.0,20302.028,18455.472,-210527.97,-210527.97,1373.999,273.15,0.0,273.15,0.0,21,109,283,5.08,26.39,68.52,1,9,150,-82.161,2.243,4313.548,5796.63,14241.0,15231.0,9927.452,9434.37,-210527.97,-210527.97,705.839,273.15,0.0,273.15,0.0
Ansuvimab,G1,Kappa,26185.14,217,214,431,2,27,289,-195.202,4.875,8391.933,9419.518,29546.0,28732.0,21154.067,19312.482,-197710.901,-197710.901,1389.798,273.15,0.0,273.15,0.0,21,130,264,5.06,31.33,63.61,1,11,143,-111.248,2.326,3190.099,4641.345,13834.0,15416.0,10643.901,10774.655,-197710.901,-197710.901,662.752,273.15,0.0,273.15,0.0
Arcitumomab,G1,Kappa,26634.01,219,213,432,2,16,301,-202.547,4.752,6818.129,10863.826,27965.0,31179.0,21146.871,20315.174,-200366.806,-200366.806,1353.453,273.15,0.0,273.15,0.0,21,138,259,5.02,33.01,61.96,1,5,150,-84.249,2.098,3590.039,6096.258,13181.0,15786.0,9590.961,9689.742,-200366.806,-200366.806,671.751,273.15,0.0,273.15,0.0
Armocibart,G4,Kappa,30258.37,205,219,424,2,13,308,-156.237,4.406,8470.5,11643.93,27573.0,29050.0,19102.5,17406.07,-214080.0,-214080.0,1382.763,273.15,0.0,273.15,0.0,14,126,276,3.37,30.29,66.35,1,10,160,-95.292,2.297,4348.329,5562.308,14292.0,14591.0,9943.671,9028.692,-214080.0,-214080.0,717.708,273.15,0.0,273.15,0.0
Ascrinvacumab,G2,Kappa,25665.71,202,215,417,2,16,269,-180.751,4.403,6409.975,11445.513,26472.0,31599.0,20062.025,20153.487,-190182.449,-190182.449,1281.249,273.15,0.0,273.15,0.0,14,159,236,3.42,38.88,57.7,1,12,136,-129.559,2.466,2337.621,5196.659,13334.0,15801.0,10996.379,10604.341,-190182.449,-190182.449,637.441,273.15,0.0,273.15,0.0
Aselizumab,G4,Kappa,26608.64,200,218,418,2,10,275,-162.992,4.579,6400.326,11030.509,26612.0,30140.0,20211.674,19109.491,-198954.431,-198954.431,1283.008,273.15,0.0,273.15,0.0,13,134,259,3.2,33.0,63.79,1,6,141,-85.992,2.147,3320.321,6114.368,13278.0,16439.0,9957.679,10324.632,-198954.431,-198954.431,667.008,273.15,0.0,273.15,0.0
Astegolimab,G2,Kappa,26728.83,205,214,419,2,16,279,-168.135,4.299,7314.598,10926.681,26988.0,30845.0,19673.402,19918.319,-190639.724,-190639.724,1317.865,273.15,0.0,273.15,0.0,16,107,285,3.92,26.23,69.85,1,8,130,-93.906,2.216,2883.752,5095.488,13278.0,16078.0,10394.248,10982.512,-190639.724,-190639.724,639.094,273.15,0.0,273.15,0.0
Atezolizumab,G1,Kappa,25203.63,216,214,430,3,20,281,-192.151,5.024,7233.97,10005.998,29148.0,30233.0,21914.03,20227.002,-194663.463,-194663.463,1344.849,273.15,0.0,273.15,0.0,23,136,262,5.46,32.3,62.23,2,14,140,-135.55,2.35,2737.993,4887.888,13619.0,16134.0,10881.007,11246.112,-194663.463,-194663.463,652.45,273.15,0.0,273.15,0.0
Atibuclimab,G4,Kappa,25978.51,199,218,417,2,12,286,-165.22,4.38,7071.197,10971.054,27137.0,31320.0,20065.803,20348.946,-203088.86,-203088.86,1310.78,273.15,0.0,273.15,0.0,8,90,306,1.98,22.28,75.74,1,7,152,-99.169,2.34,3393.23,5465.704,13913.0,15772.0,10519.77,10306.296,-203088.86,-203088.86,680.831,273.15,0.0,273.15,0.0
Atigotatug,G1,Kappa,26679.36,220,214,434,3,14,291,-181.608,4.535,7095.661,10666.823,27951.0,31964.0,20855.339,21297.177,-195036.561,-195036.561,1353.392,273.15,0.0,273.15,0.0,11,147,266,2.59,34.67,62.74,2,9,145,-119.244,2.242,2790.235,5148.483,13342.0,16359.0,10551.765,11210.517,-195036.561,-195036.561,653.756,273.15,0.0,273.15,0.0
Atisnolerbart,G4,Kappa,30346.59,204,215,419,1,18,295,-155.275,4.518,8629.009,12530.828,28022.0,29829.0,19392.991,17298.172,-208406.334,-208406.334,1367.725,273.15,0.0,273.15,0.0,14,69,321,3.47,17.08,79.46,0,9,154,-84.284,2.092,4228.623,6722.259,13524.0,15629.0,9295.377,8906.741,-208406.334,-208406.334,698.716,273.15,0.0,273.15,0.0
Avelumab,G1,Lambda,21036.25,218,216,434,4,25,251,-242.221,5.25,4991.178,9593.492,28359.0,32052.0,23367.822,22458.508,-184155.245,-184155.245,1272.779,273.15,0.0,273.15,0.0,42,187,194,9.93,44.21,45.86,2,14,116,-126.765,2.135,2129.382,5330.517,12612.0,17242.0,10482.618,11911.483,-184155.245,-184155.245,617.235,273.15,0.0,273.15,0.0
Avitotamig,G1,Kappa,28998.47,217,213,430,1,13,280,-142.427,4.595,7742.902,12297.362,28137.0,31791.0,20394.098,19493.638,-191856.811,-191856.811,1347.573,273.15,0.0,273.15,0.0,19,111,295,4.47,26.12,69.41,0,10,126,-84.794,2.319,3248.26,5102.066,13725.0,15460.0,10476.74,10357.934,-191856.811,-191856.811,643.206,273.15,0.0,273.15,0.0
Balertatug,G1,Kappa,26445.92,216,218,434,2,16,272,-175.352,5.024,6745.924,11157.07,28439.0,30752.0,21693.076,19594.93,-197236.084,-197236.084,1326.648,273.15,0.0,273.15,0.0,20,129,271,4.76,30.71,64.52,1,11,139,-112.845,2.636,2966.183,5401.225,14179.0,15204.0,11212.817,9802.775,-197236.084,-197236.084,661.155,273.15,0.0,273.15,0.0
Balonkibart,G4,Kappa,25770.37,204,214,418,2,9,276,-151.804,4.864,6727.848,10289.445,27833.0,29554.0,21105.152,19264.555,-196847.607,-196847.607,1291.196,273.15,0.0,273.15,0.0,21,146,236,5.21,36.23,58.56,1,4,140,-73.015,2.193,3479.409,5340.935,13609.0,15766.0,10129.591,10425.065,-196847.607,-196847.607,659.985,273.15,0.0,273.15,0.0
Balstilimab,G4,Kappa,22764.96,197,214,411,4,14,257,-193.002,4.889,5439.922,9372.149,26857.0,29312.0,21417.078,19939.851,-186951.003,-186951.003,1232.998,273.15,0.0,273.15,0.0,12,157,236,2.96,38.77,58.27,2,7,131,-108.327,2.491,2346.936,4855.947,13619.0,16038.0,11272.064,11182.053,-186951.003,-186951.003,626.673,273.15,0.0,273.15,0.0
Bamlanivimab,G1,Kappa,22589.55,223,214,437,4,23,260,-235.842,5.048,5286.313,10185.481,28176.0,32977.0,22889.687,22791.519,-183451.274,-183451.274,1293.158,273.15,0.0,273.15,0.0,21,208,197,4.93,48.83,46.24,2,13,119,-126.124,2.293,2115.023,5244.011,12970.0,16888.0,10854.977,11643.989,-183451.274,-183451.274,614.876,273.15,0.0,273.15,0.0
Barzolvolimab,G1,Kappa,27563.25,214,214,428,2,21,263,-178.607,4.405,7055.732,11444.654,27174.0,31736.0,20118.268,20291.346,-196553.388,-196553.388,1318.393,273.15,0.0,273.15,0.0,22,128,261,5.35,31.14,63.5,1,5,126,-50.928,1.913,3962.899,6118.568,13061.0,15959.0,9098.101,9840.432,-196553.388,-196553.388,659.072,273.15,0.0,273.15,0.0
Basiliximab,G1,Kappa,22369.45,215,211,426,4,26,252,-238.548,4.567,5338.097,9643.182,26767.0,32296.0,21428.903,22652.818,-186102.289,-186102.289,1267.452,273.15,0.0,273.15,0.0,28,192,196,6.73,46.15,47.12,2,14,126,-130.247,2.032,2390.132,4884.483,12371.0,16234.0,9980.868,11349.517,-186102.289,-186102.289,623.753,273.15,0.0,273.15,0.0
Bavituximab,G1,Kappa,26907.33,218,214,432,3,23,268,-205.375,4.431,6664.984,10927.966,26991.0,31595.0,20326.016,20667.034,-193519.343,-193519.343,1324.625,273.15,0.0,273.15,0.0,20,158,246,4.72,37.26,58.02,1,13,120,-89.232,2.032,3470.711,5129.538,13121.0,15542.0,9650.289,10412.462,-193519.343,-193519.343,648.768,273.15,0.0,273.15,0.0
Bebtelovimab,G1,Lambda,25791.6,217,215,432,2,8,247,-92.37,4.68,7785.181,9745.761,29042.0,30971.0,21256.819,21225.239,-192556.507,-192556.507,1315.63,273.15,0.0,273.15,0.0,14,122,282,3.35,29.19,67.46,1,4,124,-57.355,1.947,3465.813,5211.0,13160.0,16457.0,9694.187,11246.0,-192556.507,-192556.507,645.645,273.15,0.0,273.15,0.0
Becotatug,G1,Kappa,25768.77,217,214,431,3,20,283,-212.563,5.004,6497.498,11386.294,28421.0,31807.0,21923.502,20420.706,-190760.495,-190760.495,1330.437,273.15,0.0,273.15,0.0,17,162,240,4.06,38.66,57.28,1,12,137,-127.614,2.374,2455.433,5561.478,13118.0,15987.0,10662.567,10425.522,-190760.495,-190760.495,639.386,273.15,0.0,273.15,0.0
Befovacimab,G2,Lambda,25560.16,201,212,413,2,11,284,-167.658,4.829,6733.7,10889.221,27629.0,29849.0,20895.3,18959.779,-196547.357,-196547.357,1291.342,273.15,0.0,273.15,0.0,28,114,254,7.07,28.79,64.14,1,7,143,-91.082,2.51,3356.703,5975.166,14187.0,15745.0,10830.297,9769.834,-196547.357,-196547.357,658.918,273.15,0.0,273.15,0.0
Belantamab,G1,Kappa,22937.06,219,214,433,4,20,227,-194.681,4.905,5132.777,9961.071,27454.0,32333.0,22321.223,22371.929,-183102.735,-183102.735,1245.319,273.15,0.0,273.15,0.0,30,217,175,7.11,51.42,41.47,2,12,110,-104.22,2.249,2471.201,4994.922,13225.0,16719.0,10753.799,11724.078,-183102.735,-183102.735,613.78,273.15,0.0,273.15,0.0
Belimumab,G1,Lambda,23107.23,221,214,435,4,18,273,-204.219,5.228,6271.236,9479.385,28967.0,30220.0,22695.764,20740.615,-190021.049,-190021.049,1321.781,273.15,0.0,273.15,0.0,14,187,222,3.31,44.21,52.48,2,8,132,-105.019,2.268,2679.259,5030.864,13136.0,15758.0,10456.741,10727.136,-190021.049,-190021.049,636.981,273.15,0.0,273.15,0.0
Belrestotug,G1,Kappa,24831.75,219,215,434,4,31,284,-262.83,5.047,6446.801,10318.385,28553.0,30894.0,22106.199,20575.615,-196104.544,-196104.544,1348.17,273.15,0.0,273.15,0.0,25,162,238,5.88,38.12,56.0,2,22,132,-156.788,2.488,2848.48,4452.739,13923.0,15094.0,11074.52,10641.261,-196104.544,-196104.544,657.212,273.15,0.0,273.15,0.0
Bemarituzumab,G1,Kappa,24342.9,212,214,426,4,19,269,-210.766,4.408,6009.356,10454.198,26656.0,32219.0,20646.644,21764.802,-193357.55,-193357.55,1294.234,273.15,0.0,273.15,0.0,22,159,231,5.34,38.59,56.07,2,14,143,-145.965,2.127,2441.393,5211.422,12742.0,16673.0,10300.607,11461.578,-193357.55,-193357.55,648.035,273.15,0.0,273.15,0.0
Bempikibart,G1,Kappa,29852.92,219,216,435,0,12,299,-133.604,4.857,8535.843,11104.684,29467.0,29931.0,20931.157,18826.316,-203162.93,-203162.93,1394.396,273.15,0.0,273.15,0.0,18,105,304,4.22,24.59,71.19,0,5,144,-63.802,2.28,4007.913,6189.0,14155.0,15941.0,10147.087,9752.0,-203162.93,-203162.93,681.198,273.15,0.0,273.15,0.0
Benmelstobart,G1,Kappa,24623.6,214,214,428,2,20,264,-192.95,5.223,6361.982,10577.419,29119.0,31533.0,22757.018,20955.581,-195373.68,-195373.68,1301.05,273.15,0.0,273.15,0.0,38,148,229,9.16,35.66,55.18,1,12,143,-124.13,2.232,2834.808,5978.151,13111.0,16494.0,10276.192,10515.849,-195373.68,-195373.68,654.87,273.15,0.0,273.15,0.0
Benralizumab,G1,Kappa,30712.7,219,214,433,2,14,462,-329.165,4.303,7873.395,12605.076,27314.0,31830.0,19440.605,19224.924,-215094.622,-215094.622,1540.835,273.15,0.0,273.15,0.0,34,140,253,7.96,32.79,59.25,1,2,190,-101.911,1.925,4003.563,7166.651,12981.0,16558.0,8977.437,9391.349,-215094.622,-215094.622,721.089,273.15,0.0,273.15,0.0
Bentracimab,G1,Lambda,23048.68,227,216,443,4,12,268,-179.682,5.673,6092.732,9462.658,30211.0,30526.0,24118.268,21063.342,-190697.768,-190697.768,1322.318,273.15,0.0,273.15,0.0,22,156,251,5.13,36.36,58.51,2,6,129,-90.701,2.538,2811.969,4745.576,14049.0,15435.0,11237.031,10689.424,-190697.768,-190697.768,639.299,273.15,0.0,273.15,0.0
Bepranemab,G4,Kappa,26500.58,202,219,421,2,19,281,-184.604,4.523,7215.825,10641.201,27557.0,30582.0,20341.175,19940.799,-202164.976,-202164.976,1324.396,273.15,0.0,273.15,0.0,14,116,281,3.41,28.22,68.37,1,12,138,-101.275,2.137,3548.999,5258.476,13709.0,16235.0,10160.001,10976.524,-202164.976,-202164.976,677.725,273.15,0.0,273.15,0.0
Betinukibart,G1,Kappa,24779.94,215,219,434,4,16,275,-190.088,5.154,6596.476,10423.297,29196.0,31505.0,22599.524,21081.703,-196652.688,-196652.688,1327.912,273.15,0.0,273.15,0.0,16,180,227,3.78,42.55,53.66,2,13,138,-129.859,2.623,2725.632,4592.461,14268.0,15437.0,11542.368,10844.539,-196652.688,-196652.688,659.141,273.15,0.0,273.15,0.0
Bevacizumab,G1,Kappa,28953.35,221,214,435,1,11,294,-151.112,4.79,7635.512,12528.401,28770.0,32490.0,21134.488,19961.599,-194580.201,-194580.201,1366.888,273.15,0.0,273.15,0.0,15,102,304,3.56,24.23,72.21,1,5,134,-73.622,2.154,3375.13,6333.346,13384.0,16743.0,10008.87,10409.654,-194580.201,-194580.201,652.378,273.15,0.0,273.15,0.0
Bezlotoxumab,G1,Kappa,25547.42,217,215,432,2,14,273,-169.921,5.0,6683.148,10459.15,28637.0,30993.0,21953.852,20533.85,-192828.45,-192828.45,1320.079,273.15,0.0,273.15,0.0,18,171,229,4.31,40.91,54.78,1,10,131,-100.588,2.289,2976.497,5445.008,13365.0,15801.0,10388.503,10355.992,-192828.45,-192828.45,646.412,273.15,0.0,273.15,0.0
Bimagrumab,G1,Lambda,24537.64,213,217,430,4,14,279,-192.903,4.621,6323.877,10485.623,27503.0,31986.0,21179.123,21500.377,-192687.348,-192687.348,1315.097,273.15,0.0,273.15,0.0,20,151,252,4.73,35.7,59.57,2,7,133,-99.056,2.14,2797.772,5446.879,13008.0,16541.0,10210.228,11094.121,-192687.348,-192687.348,645.944,273.15,0.0,273.15,0.0
